budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year
46630000,Prominent Features,UK,Terry Gilliam,Adventure,8083123,The Adventures of Baron Munchausen,PG,3/10/1989,126,7.2,John Neville,43852,Charles McKeown,1988
13000000,Morgan Creek Productions,Canada,David Cronenberg,Drama,9134733,Dead Ringers,R,9/23/1988,116,7.3,Jeremy Irons,32130,David Cronenberg,1988
10500000,Metro-Goldwyn-Mayer (MGM),USA,Gary Sherman,Horror,14114488,Poltergeist III,PG-13,6/10/1988,98,4.6,Heather O'Rourke,14165,Gary Sherman,1988
7500000,Vista Organization,USA,Tommy Lee Wallace,Comedy,2983784,Fright Night Part 2,R,5/19/1989,104,5.9,William Ragsdale,9005,Tom Holland,1988
3000000,Front Films,USA,Keenen Ivory Wayans,Action,13030057,I'm Gonna Git You Sucka,R,2/23/1989,88,6.6,Keenen Ivory Wayans,10455,Keenen Ivory Wayans,1988
22000000,Zacharias-Buhai Productions,USA,Bud S. Smith,Comedy,17550399,Johnny Be Good,R,3/25/1988,91,4.5,Anthony Michael Hall,5006,Steve Zacharias,1988
1100000,Shapiro-Glickenhaus Entertainment,USA,William Lustig,Action,671382,Maniac Cop,R,5/13/1988,85,6,Tom Atkins,10850,Larry Cohen,1988
10000000,Orion Pictures,USA,Jonathan Demme,Comedy,21486757,Married to the Mob,R,8/19/1988,104,6.1,Michelle Pfeiffer,13416,Barry Strugatz,1988
6000000,Orion Pictures,USA,Dennis Hopper,Action,46616067,Colors,R,4/29/1988,120,6.7,Sean Penn,20490,Michael Schiffer,1988
17000000,Vision PDG,Ireland,Neil Jordan,Comedy,8578231,El Hotel de los Fantasmas,PG-13,11/18/1988,99,5.7,Peter O'Toole,6979,Neil Jordan,1988
3000000,Double Play,USA,Sidney Lumet,Crime,2835116,Running on Empty,PG-13,9/9/1988,116,7.7,River Phoenix,11312,Naomi Foner,1988
1200000,Blue Rider Pictures,USA,Kevin Tenney,Comedy,3109904,Night of the Demons,R,10/14/1988,90,6.3,Cathy Podewell,9897,Joe Augustyn,1988
13000000,Mac and Me Joint Venture,USA,Stewart Raffill,Adventure,6424112,Mac and Me,PG,8/12/1988,95,3.4,Christine Ebersole,8043,Stewart Raffill,1988
4500000,New Line Cinema,USA,Mick Garris,Comedy,3813293,Critters 2,PG-13,4/29/1988,86,5.3,Scott Grimes,11122,David Twohy,1988
20000000,Weintraub Entertainment Group,USA,Richard Benjamin,Comedy,13854000,My Stepmother Is an Alien,PG-13,12/9/1988,105,5.2,Dan Aykroyd,22281,Jerico,1988
6200000,Lorimar Film Entertainment,USA,Ken Wiederhorn,Comedy,9205924,Return of the Living Dead II,R,1/15/1988,89,5.8,James Karen,14998,Ken Wiederhorn,1988
0,TriStar Pictures,USA,Kenneth Johnson,Comedy,21630088,Short Circuit 2,PG,7/6/1988,110,5.6,Fisher Stevens,19841,Brent Maddock,1988
22000000,Universal Pictures,USA,Michael Apted,Biography,24720479,Gorillas in the Mist,PG-13,10/7/1988,129,7,Sigourney Weaver,20378,Harold T.P. Hayes,1988
2000000,Magellan Pictures,USA,Robert Bierman,Comedy,725131,Vampire's Kiss,R,6/2/1989,103,5.9,Nicolas Cage,10474,Joseph Minion,1988
0,Island Pictures,USA,William Richert,Comedy,6264058,A Night in the Life of Jimmy Reardon,R,2/26/1988,90,5.5,River Phoenix,2177,William Richert,1988
0,Metro-Goldwyn-Mayer (MGM),UK,Michael Hoffman,Comedy,401421,Some Girls,R,9/9/1988,94,6,Patrick Dempsey,2369,Rupert Walters,1988
2500000,White Lair,UK,Ken Russell,Comedy,1189315,The Lair of the White Worm,R,10/21/1988,93,5.9,Amanda Donohoe,7908,Ken Russell,1988
0,Vestron Pictures,USA,Anthony Hickox,Comedy,808114,Waxwork,R,6/17/1988,95,6.2,Zach Galligan,8703,Anthony Hickox,1988
7000000,Universal Pictures,USA,Wes Craven,Fantasy,19595031,The Serpent and the Rainbow,R,2/5/1988,98,6.5,Bill Pullman,18528,Wade Davis,1988
5000000,Columbia Pictures Corporation,Sweden,Ken Annakin,Family,3569939,Las travesuras de una pelirojja,G,7/29/1988,100,5.9,Tami Erin,3474,Astrid Lindgren,1988
6000000,Orion Pictures,USA,John Sayles,Drama,5680515,Eight Men Out,PG,9/2/1988,119,7.3,John Cusack,15946,Eliot Asinof,1988
4700000,New Sky Communications Inc.,USA,Frank LaLoggia,Fantasy,1705139,Lady in White,PG-13,4/22/1988,113,6.7,Lukas Haas,5135,Frank LaLoggia,1988
700000,Laurenfilm,Spain,Pedro Almodуvar,Comedy,7179298,Women on the Verge of a Nervous Breakdown,R,11/11/1988,88,7.6,Carmen Maura,27755,Pedro Almodуvar,1988
0,Paramount Pictures,USA,John Hughes,Comedy,16031707,She's Having a Baby,PG-13,2/5/1988,106,5.8,Kevin Bacon,9676,John Hughes,1988
3000000,Spacegate Productions,USA,Don Coscarelli,Action,7282851,Phantasm II,R,7/8/1988,97,6.5,James Le Gros,10789,Don Coscarelli,1988
25000000,United Artists,Japan,James Bridges,Drama,16118077,Luces de una gran ciudad,R,4/1/1988,107,5.6,Michael J. Fox,6165,Jay McInerney,1988
0,Paramount Pictures,USA,Peter Hyams,Action,20036242,The Presidio,R,6/10/1988,97,6,Sean Connery,13900,Larry Ferguson,1988
0,Touchstone Pictures,USA,Jim Abrahams,Comedy,40150487,Big Business,PG,6/10/1988,97,6.3,Bette Midler,9728,Dori Pierson,1988
7000000,Orion Pictures,USA,George A. Romero,Drama,5344577,Monkey Shines,R,7/29/1988,113,6.2,Jason Beghe,8595,Michael Stewart,1988
19000000,Cornelius Productions,USA,George Roy Hill,Comedy,25537221,Funny Farm,PG,6/3/1988,101,6.1,Chevy Chase,16321,Jay Cronley,1988
0,Incorporated Television Company (ITC),UK,Thom Eberhardt,Comedy,8539181,Without a Clue,PG,10/21/1988,107,7,Michael Caine,7846,Gary Murphy,1988
16000000,American Entertainment Partners II L.P.,USA,Graham Baker,Action,25216243,Alien Nation,R,10/7/1988,91,6.3,James Caan,12143,Rockne S. O'Bannon,1988
0,Atlantic Entertainment Group,USA,Ernest Thompson,Drama,5979011,1969,R,11/18/1988,95,5.8,Robert Downey Jr.,3154,Ernest Thompson,1988
0,Cinetel Films,USA,Robert Englund,Comedy,2955917,976-EVIL,R,3/24/1989,92,5.1,Stephen Geoffreys,3769,Brian Helgeland,1988
7000000,Lorimar Film Entertainment,USA,Craig R. Baxley,Action,20257000,Action Jackson,R,2/12/1988,96,5.2,Carl Weathers,8065,Robert Reneau,1988
22000000,Esparza,USA,Robert Redford,Comedy,13825794,The Milagro Beanfield War,R,3/18/1988,117,6.9,Rubйn Blades,5289,John Nichols,1988
23000000,Lucasfilm,USA,Francis Ford Coppola,Biography,19652638,Tucker: The Man and His Dream,PG,8/12/1988,110,6.9,Jeff Bridges,12469,Arnold Schulman,1988
0,Warner Bros.,USA,Alan Myerson,Comedy,4239831,Police Academy 5: Assignment: Miami Beach,PG,3/18/1988,90,4.4,Bubba Smith,27482,Neal Israel,1988
6500000,Columbia Pictures Corporation,USA,Spike Lee,Comedy,14545844,School Daze,R,2/12/1988,121,5.8,Laurence Fishburne,5042,Spike Lee,1988
0,Columbia Pictures Corporation,USA,Brian Gilbert,Comedy,13664060,Vice Versa,PG,3/11/1988,98,5.8,Judge Reinhold,7667,F. Anstey,1988
3700000,Hemdale,USA,Steve De Jarnatt,Action,1145404,Miracle Mile,R,5/19/1989,87,7,Anthony Edwards,6985,Steve De Jarnatt,1988
0,Forum Sarajevo,UK,Emir Kusturica,Comedy,280015,Time of the Gypsies,R,2/9/1990,142,8.3,Davor Dujmovic,19943,Emir Kusturica,1988
0,Warner Bros.,USA,Lawrence Kasdan,Drama,32632093,The Accidental Tourist,PG,1/6/1989,121,6.8,William Hurt,13051,Anne Tyler,1988
17500000,Zanuck/Brown Productions,USA,Daniel Petrie,Adventure,18924919,Cocoon: The Return,PG,11/23/1988,116,5.3,Don Ameche,12956,David Saperstein,1988
0,A&M; Films,USA,Kevin Reynolds,War,161004,The Beast of War,R,9/7/1988,111,7.4,George Dzundza,7675,William Mastrosimone,1988
4000000,Producers Representative Organization,UK,Martin Donovan,Drama,670774,Apartment Zero,R,9/15/1989,124,6.9,Hart Bochner,3259,Martin Donovan,1988
0,TriStar Pictures,USA,Carl Schultz,Drama,18875011,The Seventh Sign,R,4/1/1988,97,5.9,Demi Moore,11102,Clifford Green,1988
0,Metro-Goldwyn-Mayer (MGM),USA,Bob Swaim,Drama,15855828,Masquerade,R,3/11/1988,100,6,Rob Lowe,2628,Dick Wolf,1988
10000000,Jack Rollins & Charles H. Joffe Productions,USA,Woody Allen,Drama,1562749,Another Woman,PG,11/18/1988,81,7.4,Gena Rowlands,10826,Woody Allen,1988
9000000,"Malpaso Company, The",USA,Clint Eastwood,Biography,2181286,Bird,R,9/30/1988,161,7.2,Forest Whitaker,9685,Joel Oliansky,1988
0,Film Four International,UK,Peter Greenaway,Comedy,424773,Drowning by Numbers,R,1991-06,118,7.3,Bernard Hill,6671,Peter Greenaway,1988
15000000,Cannon Entertainment,Australia,Fred Schepisi,Drama,6908797,A Cry in the Dark,PG-13,11/11/1988,120,6.9,Meryl Streep,7622,John Bryson,1988
20000000,Rastar Pictures,USA,Mike Nichols,Comedy,43184798,Biloxi Blues,PG-13,3/25/1988,106,6.6,Matthew Broderick,12590,Neil Simon,1988
4000000,Cineplex-Odeon Films,USA,Oliver Stone,Drama,3468572,Talk Radio,R,1/13/1989,110,7.3,Eric Bogosian,10745,Stephen Singular,1988
0,Price,France,Jean-Jacques Annaud,Adventure,31753898,The Bear,PG,10/27/1989,96,7.7,Tchйky Karyo,13980,James Oliver Curwood,1988
0,Jascat,USA,Geneviиve Robert,Comedy,12277096,Casual Sex?,R,4/22/1988,97,4.9,Lea Thompson,3279,Wendy Goldman,1988
20000000,"Guber-Peters Company, The",USA,Allan Arkush,Comedy,11798302,Caddyshack II,PG,7/22/1988,98,3.7,Jackie Mason,12956,Brian Doyle-Murray,1988
18000000,Imagine Entertainment,USA,Ken Kwapis,Adventure,1883811,Vibes,PG,8/5/1988,99,5.5,Cyndi Lauper,2850,Deborah Blum,1988
0,Touchstone Pictures,USA,Roger Spottiswoode,Action,29300090,Shoot to Kill,R,2/12/1988,110,6.8,Sidney Poitier,9882,Harv Zimmel,1988
0,TriStar Pictures,USA,John G. Avildsen,Comedy,17514553,For Keeps?,PG-13,1/15/1988,90,5.9,Molly Ringwald,3277,Tim Kazurinsky,1988
0,Warner Bros.,Australia,Yahoo Serious,Comedy,11536599,Young Einstein,PG,8/4/1989,91,5.1,Yahoo Serious,7621,David Roach,1988
0,Hemdale,USA,Martin Campbell,Crime,9974446,Criminal Law,R,4/28/1989,117,5.7,Gary Oldman,2928,Mark Kasdan,1988
0,National Broadcasting Company (NBC),USA,Joan Freeman,Comedy,8253123,Satisfaction,PG-13,2/12/1988,92,4.8,Justine Bateman,2958,Charles Purpura,1988
19000000,United Artists,USA,Costa-Gavras,Drama,25816139,Betrayed,R,8/26/1988,127,6.3,Debra Winger,4580,Joe Eszterhas,1988
0,Imagine Films Entertainment,USA,Glenn Gordon Caron,Drama,8674093,Clean and Sober,R,8/10/1988,124,6.7,Michael Keaton,4875,Tod Carroll,1988
0,Concorde Pictures,Canada,Jon Hess,Action,940173,Al borde del terror,R,12/2/1988,91,5.3,Corey Haim,3376,Dean R. Koontz,1988
16000000,Abramoff Production,South Africa,Joseph Zito,Action,4192440,Escorpion rojo,R,4/21/1989,105,5,Dolph Lundgren,6925,Robert Abramoff,1988
0,Bigelow Productions,USA,Annabel Jankel,Mystery,12706478,D.O.A.,R,3/18/1988,96,6.1,Dennis Quaid,8364,Charles Edward Pogue,1988
0,Golan-Globus Productions,USA,Michael Winner,Crime,960040,Appointment with Death,PG,4/27/1988,100,6.2,Peter Ustinov,2554,Agatha Christie,1988
0,Cadrage,UK,Mira Nair,Crime,2080046,Salaam Bombay!,NOT RATED,10/7/1988,113,8,Shafiq Syed,7139,Hriday Lani,1988
0,TriStar Pictures,USA,Peter Markle,Drama,3966256,Bat*21,R,10/21/1988,105,6.4,Gene Hackman,6651,William C. Anderson,1988
0,Burrowes Film Group,Australia,Geoff Burrowes,Adventure,13687027,Return to Snowy River,PG,4/15/1988,110,6.6,Tom Burlinson,1943,Geoff Burrowes,1988
6000000,Aspen Film Society,USA,Paul Golding,Horror,40397,Pulse,PG-13,3/4/1988,95,5.5,Cliff De Young,1781,Paul Golding,1988
0,The Mount Company,USA,Steven Kampmann,Drama,7467504,Stealing Home,PG-13,8/26/1988,98,6.8,Mark Harmon,3633,Steven Kampmann,1988
0,Warner Bros.,USA,Alan Metter,Comedy,10815378,Moving,R,3/4/1988,89,6.1,Richard Pryor,4139,Andy Breckman,1988
0,New World Entertainment Films,USA,Paul Flaherty,Comedy,2567099,18 Again!,PG,4/8/1988,93,5.7,Charlie Schlatter,3573,Josh Goldstein,1988
14000000,Weintraub Entertainment Group,USA,David Anspaugh,Drama,6640346,Fresh Horses,PG-13,11/18/1988,105,5,Molly Ringwald,1439,Larry Ketron,1988
0,New Line Cinema,USA,Paul Bogart,Comedy,4865997,Torch Song Trilogy,R,12/14/1988,120,7.7,Anne Bancroft,5834,Harvey Fierstein,1988
5000000,Helpern / Meltzer,USA,Mark Goldblatt,Action,3588626,Dead Heat,R,6/29/1988,86,6,Treat Williams,5127,Terry Black,1988
210000,Miracle Pictures,USA,Jim Wynorski,Comedy,107352,Not of This Earth,R,5/20/1988,81,4.5,Traci Lords,1724,R.J. Robertson,1988
15000000,Columbia Pictures Corporation,USA,Richard Benjamin,Drama,1733070,Little Nikita,PG,3/18/1988,98,6,Sidney Poitier,4132,John Hill,1988
15000000,Columbia Pictures Corporation,USA,David Seltzer,Comedy,21032267,Punchline,R,10/7/1988,128,5.8,Sally Field,6938,David Seltzer,1988
0,Silver Screen Partners III,USA,Ferdinand Fairfax,Action,5855392,The Rescue,PG,8/5/1988,100,5.4,Kevin Dillon,920,Jim Thomas,1988
0,"Cannon Group, The",USA,Aaron Norris,Action,6193901,Braddock: Missing in Action III,R,1/22/1988,101,4.7,Chuck Norris,4679,Steve Bing,1988
0,Carolco Pictures,Canada,Sidney J. Furie,Action,10497324,Iron Eagle II,PG,11/11/1988,100,3.6,Louis Gossett Jr.,4195,Kevin Alyn Elders,1988
0,Les Films Christian Fechner,France,Bruno Nuytten,Biography,201055,Camille Claudel,R,12/21/1989,158,7.3,Isabelle Adjani,5243,Reine-Marie Paris,1988
0,Paramount Pictures,USA,Randal Kleiser,Adventure,15122324,Big Top Pee-wee,PG,7/22/1988,86,4.9,Paul Reubens,7756,Paul Reubens,1988
0,Atlantic Entertainment Group,UK,Mike Figgis,Crime,1791328,Stormy Monday,R,1988-05,93,6.3,Melanie Griffith,2958,Mike Figgis,1988
0,Management Company Entertainment Group (MCEG),USA,Keith Gordon,Drama,303624,The Chocolate War,R,11/18/1988,100,6.9,John Glover,1784,Robert Cormier,1988
0,In-Gear Film Production,Hong Kong,Kar-Wai Wong,Crime,8440,As Tears Go By,Not specified,5/2/2008,102,7.1,Andy Lau,6485,Jeffrey Lau,1988
0,Metro-Goldwyn-Mayer (MGM),USA,Janet Greek,Drama,1938049,Spellbinder,R,9/23/1988,99,5.8,Tim Daly,1633,Tracy Tormй,1988
8000000,Hemdale,USA,Harold Becker,Drama,784990,The Boost,R,12/23/1988,95,6.1,James Woods,1629,Ben Stein,1988
20000000,Universal Pictures,USA,Paul Mazursky,Comedy,11444204,Moon Over Parador,PG-13,9/9/1988,103,5.9,Richard Dreyfuss,4778,Charles G. Booth,1988
6000000,Touchstone Pictures,USA,John R. Cherry III,Comedy,28202109,Ernest Saves Christmas,PG,11/11/1988,95,5.6,Jim Varney,8513,Ed Turner,1988
0,Atlantic Entertainment Group,UK,Chris Menges,Drama,2326900,A World Apart,PG,6/17/1988,100,7.1,Barbara Hershey,1234,Shawn Slovo,1988
3000000,Atlantic Entertainment Group,USA,James B. Harris,Crime,1884315,Cop,R,3/11/1988,110,6.4,James Woods,3419,James Ellroy,1988
0,"Movie Group, The",UK,David Green,Comedy,540000,Buster,R,11/23/1988,91,5.8,Phil Collins,2767,Colin Shindler,1988
4000000,Warner Bros.,USA,Joan Micklin Silver,Comedy,16262415,Crossing Delancey,PG,9/16/1988,97,6.9,Amy Irving,2935,Susan Sandler,1988
0,Working Title Films,UK,Bernard Rose,Drama,241278,Paperhouse,PG-13,2/17/1989,92,6.8,Charlotte Burke,4568,Catherine Storr,1988
0,MTM Enterprises,USA,Robert Mulligan,Drama,5194491,Clara's Heart,PG-13,10/7/1988,100,6.3,Whoopi Goldberg,1821,Joseph Olshan,1988
6000000,Shapiro-Glickenhaus Entertainment,USA,James Glickenhaus,Action,10068039,Shakedown,R,5/6/1988,93,5.9,Peter Weller,2087,James Glickenhaus,1988
19000000,Orion Pictures,USA,Michael Ritchie,Comedy,11005304,The Couch Trip,R,1/15/1988,97,5.7,Dan Aykroyd,3961,Ken Kolb,1988
0,Col.Ima.Son,France,Renй Laloux,Animation,370698,Gandahar,PG,3/2/1988,78,7.1,Glenn Close,3196,Renй Laloux,1988
8000000,Paramount Pictures,USA,Marisa Silver,Drama,1893139,Permanent Record,PG-13,4/22/1988,91,6.4,Alan Boyce,1550,Jarre Fees,1988
6000000,TriStar Pictures,Canada,Pen Densham,Drama,1869148,The Kiss,R,10/14/1988,101,5.5,Joanna Pacula,1258,Tom Ropelewski,1988
0,CB Films,France,Catherine Breillat,Romance,410109,36 fillette,Not specified,1/6/1989,88,6,Delphine Zentout,938,Catherine Breillat,1988
0,Golan-Globus Productions,USA,William Tannen,Action,5301200,Hero and the Terror,R,8/26/1988,96,5.2,Chuck Norris,2626,Michael Blodgett,1988
0,Warner Bros.,USA,Michael Dinner,Comedy,6436211,Hot to Trot,PG,8/26/1988,100,4.4,Bobcat Goldthwait,2666,Stephen Neigher,1988
0,New Visions,USA,Taylor Hackford,Drama,12638294,Everybody's All-American,R,11/4/1988,127,6.2,Jessica Lange,2558,Frank Deford,1988
0,Sheen/Greenblatt Productions,West Germany,Leo Penn,Drama,229556,Judgement in Berlin,PG,5/6/1988,96,5.9,Martin Sheen,571,Herbert J. Stern,1988
0,Vestron Pictures,USA,Roger Vadim,Comedy,717376,And God Created Woman,R,3/4/1988,100,4.3,Rebecca De Mornay,1487,R.J. Stewart,1988
0,British Screen Productions,UK,Mike Leigh,Comedy,1192322,High Hopes,PG,2/24/1989,108,7.6,Ruth Sheen,3235,Mike Leigh,1988
14000000,Touchstone Pictures,USA,Leonard Nimoy,Drama,4764606,The Good Mother,R,11/4/1988,100,5.9,Diane Keaton,1361,Michael Bortman,1988
19000000,Cecchi Gori Group Tiger Cinematografica,USA,Blake Edwards,Crime,4594452,Sunset,R,4/29/1988,102,5.7,Bruce Willis,3333,Rod Amateau,1988
0,Working Title Films,UK,Martin Stellman,Crime,191051,For Queen & Country,R,5/19/1989,105,5.7,Denzel Washington,1851,Martin Stellman,1988
0,Virgin Vision,USA,Matthew Chapman,Drama,113275,Heart of Midnight,R,3/3/1989,93,5.3,Jennifer Jason Leigh,908,Matthew Chapman,1988
0,Columbia Pictures Corporation,USA,Daniel Petrie,Drama,187349,Rocket Gibraltar,PG,9/2/1988,99,6.6,Burt Lancaster,1594,Amos Poe,1988
1000000,Cinema Group,USA,Rowdy Herrington,Crime,492519,Jack's Back,R,5/6/1988,97,6,James Spader,1968,Rowdy Herrington,1988
0,De Laurentiis Entertainment Group (DEG),USA,Bill Fishman,Comedy,343786,Tapeheads,R,10/21/1988,93,5.8,John Cusack,3411,Bill Fishman,1988
0,Compact Yellowbill,UK,Charles Sturridge,Drama,1560700,A Handful of Dust,PG,6/24/1988,100,6.8,James Wilby,1519,Derek Granger,1988
5000000,HandMade Films,UK,Nicolas Roeg,Drama,429028,Track 29,R,7/12/1988,100,5.9,Theresa Russell,1563,Dennis Potter,1988
0,Golan-Globus Productions,USA,Boaz Davidson,Romance,8892589,Salsa,PG,5/6/1988,98,4.9,Draco Rosa,900,Boaz Davidson,1988
4000000,No Frills Film Production,USA,Andrew Fleming,Horror,9797098,Bad Dreams,R,4/8/1988,84,5.6,Jennifer Rubin,2583,Andrew Fleming,1988
0,Columbia Pictures Corporation,USA,Pat O'Connor,Comedy,111987,Stars and Bars,R,3/18/1988,94,4.8,Daniel Day-Lewis,689,William Boyd,1988
0,United Artists,USA,David Beaird,Comedy,344375,It Takes Two,PG-13,7/13/1988,81,5.7,George Newbern,519,Richard Christian Matheson,1988
0,Atlantic Entertainment Group,UK,Paul Schrader,Biography,1223326,Patty Hearst,R,9/23/1988,108,6.3,Natasha Richardson,1064,Patricia Hearst,1988
0,Warner Bros.,USA,Bud Yorkin,Comedy,14681192,Arthur 2: On the Rocks,PG,7/8/1988,113,4.3,Dudley Moore,5270,Steve Gordon,1988
13000000,Silver Screen Partners III,USA,Chris Columbus,Comedy,5509417,Heartbreak Hotel,PG-13,9/30/1988,97,5.7,David Keith,1017,Chris Columbus,1988
0,MK2 Productions,France,Claude Chabrol,Drama,438483,Story of Women,Not specified,1990-02,108,7.6,Isabelle Huppert,3109,Colo Tavernier,1988
0,Force 10 Productions (I),USA,Mark Rosenthal,Comedy,124880,The In Crowd,PG,1988-02,95,6.3,Jennifer Runyon,640,Lawrence Konner,1988
0,Metro-Goldwyn-Mayer (MGM),USA,Donald P. Bellisario,Action,426965,Last Rites,R,11/18/1988,103,5.2,Tom Berenger,867,Donald P. Bellisario,1988
0,"Cannon Group, The",USA,J. Lee Thompson,Action,3074681,Messenger of Death,R,10/21/1988,91,5.5,Charles Bronson,1806,Rex Burns,1988
0,Cannon International,USA,Aaron Norris,War,1348771,Platoon Leader,R,1988-10,97,5.4,Tony Pierce,1193,Andrew Deutsch,1988
0,Nelson Entertainment,USA,Alan Rudolph,Comedy,2011497,The Moderns,R,1988-05,126,6.7,Keith Carradine,1410,Alan Rudolph,1988
18000000,TriStar Pictures,USA,Ted Kotcheff,Comedy,9129999,Switching Channels,PG,3/4/1988,105,5.9,Kathleen Turner,2789,Ben Hecht,1988
0,Caroline Productions,France,Claire Denis,Drama,2317091,Chocolat,PG-13,1989-05,105,7.4,Isaach De Bankolй,2217,Claire Denis,1988
0,Island Pictures,UK,Caleb Deschanel,Drama,315421,Crusoe,PG-13,3/31/1989,91,6.3,Aidan Quinn,759,Daniel Defoe,1988
0,British Film Institute (BFI),UK,Terence Davies,Drama,688329,"Distant Voices, Still Lives",PG-13,11/18/1988,85,7.5,Pete Postlethwaite,2626,Terence Davies,1988
0,Incorporated Television Company (ITC),UK,Piers Haggard,Drama,462813,A Summer Story,PG-13,7/23/1988,95,7.5,Imogen Stubbs,738,John Galsworthy,1988
0,Not specified,USA,Danny Bilson,Comedy,1152786,The Wrong Guys,PG,5/13/1988,100,5,Louie Anderson,637,Paul De Meo,1988
0,Twentieth Century Fox Film Corporation,USA,Christopher Crowe,Action,7242035,Off Limits,R,3/11/1988,102,6.2,Willem Dafoe,2154,Christopher Crowe,1988
0,Warner Bros.,USA,Daniel Goldberg,Comedy,3838793,Feds,PG-13,10/28/1988,90,5.3,Rebecca De Mornay,2530,Len Blum,1988
14000000,Orion Pictures,USA,Peter Yates,Thriller,459824,The House on Carroll Street,PG,3/4/1988,101,6.2,Kelly McGillis,1844,Walter Bernstein,1988
0,United British Artists (UBA),UK,Francis Megahy,Action,159969,Taffin,R,2/26/1988,96,5.6,Pierce Brosnan,1194,David Ambrose,1988
0,Orion Pictures,USA,Robert M. Young,Drama,3076031,Dominick and Eugene,PG-13,9/28/1988,111,7.1,Tom Hulce,2409,Corey Blechman,1988
0,Jolly Russell Productions,UK,Ken Russell,Biography,331469,Salome's Last Dance,R,1988-06,89,6.7,Glenda Jackson,1110,Oscar Wilde,1988
13000000,Crescent Moon,USA,Peter Bogdanovich,Comedy,259019,Illegally Yours,PG,5/13/1988,102,4.2,Rob Lowe,734,Michael Kaplan,1988
0,Continental Film Group Ltd.,USA,Amin Q. Chaudhri,Drama,422667,Tiger Warsaw,R,5/12/1988,100,4.7,Patrick Swayze,615,Roy London,1988
0,Trans World Entertainment (TWE),USA,David Stevens,Crime,2432536,Kansas,R,9/23/1988,100,5.4,Matt Dillon,766,Spencer Eastman,1988
0,Heritage Entertainment Inc.,USA,Danny Huston,Comedy,1221366,Mr. North,PG,7/22/1988,93,5.9,Anthony Edwards,1077,Thornton Wilder,1988
0,Vestron Pictures,USA,Camilo Vila,Horror,6337299,The Unholy,R,4/22/1988,102,4.9,Ben Cross,1123,Philip Yordan,1988
0,Braveworld Productions,USA,Gary Sinise,Action,188964,Miles from Home,R,9/16/1988,108,5.7,Richard Gere,1117,Chris Gerolmo,1988
0,Columbia Pictures Corporation,USA,David Mamet,Comedy,3527886,Things Change,PG,10/21/1988,100,7,Don Ameche,2644,David Mamet,1988
5000000,Cinetel Films,USA,Steve Carver,Action,807947,Bulletproof,R,3/4/1988,93,5,Gary Busey,1057,T.L. Lankford,1988
12000000,Metro-Goldwyn-Mayer (MGM),USA,Henry Winkler,Comedy,3965604,Memories of Me,PG-13,10/7/1988,100,5.7,Billy Crystal,789,Eric Roth,1988
0,Brightstar Films,USA,Robert Greenwald,Comedy,3790493,Sweet Hearts Dance,R,9/23/1988,100,5.7,Don Johnson,680,Ernest Thompson,1988
1600000,Cinetel Films,USA,Michael Schroeder,Comedy,419428,Out of the Dark,R,5/5/1989,89,5.4,Cameron Dye,593,J. Greg De Felice,1988
0,Merchant Ivory Productions,UK,Nicholas Meyer,Adventure,346297,The Deceivers,PG-13,9/2/1988,102,6.1,Pierce Brosnan,795,John Masters,1988
7000000,Smart Egg Pictures,UK,Armand Mastroianni,Horror,136203,Cameron's Closet,R,1/13/1989,100,4.9,Cotter Smith,704,Gary Brandner,1988
0,Arenafilm,Australia,Vincent Ward,Action,1333379,The Navigator: A Medieval Odyssey,PG,12/15/1988,90,7,Bruce Lyons,2661,Geoff Chapple,1988
0,"Vista Organisation, The",USA,David Beaird,Comedy,169785,Pass the Ammo,R,3/4/1988,93,6.1,Bill Paxton,414,Joel Cohen,1988
16400000,Touchstone Pictures,USA,Peter Weir,Comedy,95860116,Dead Poets Society,PG,6/9/1989,128,8,Robin Williams,301100,Tom Schulman,1989
35000000,Warner Bros.,USA,Tim Burton,Action,251188924,Batman,PG-13,6/23/1989,126,7.6,Michael Keaton,288860,Bob Kane,1989
11500000,Paramount Pictures,USA,Mary Lambert,Horror,57469179,Pet Sematary,R,4/21/1989,103,6.6,Dale Midkiff,70178,Stephen King,1989
48000000,Paramount Pictures,USA,Steven Spielberg,Action,197171806,Indiana Jones and the Last Crusade,PG-13,5/24/1989,127,8.3,Harrison Ford,566432,Jeffrey Boam,1989
40000000,Walt Disney Pictures,USA,Ron Clements,Animation,111543479,The Little Mermaid,G,11/17/1989,83,7.6,Jodi Benson,188455,John Musker,1989
55000000,Warner Bros.,USA,Andrey Konchalovskiy,Action,63408614,Tango & Cash,R,12/22/1989,104,6.3,Sylvester Stallone,81242,Randy Feldman,1989
17000000,Silver Pictures,USA,Rowdy Herrington,Action,30050028,Road House,R,5/19/1989,114,6.5,Patrick Swayze,47394,R. Lance Hill,1989
27000000,Warner Bros.,USA,Jeremiah S. Chechik,Comedy,71320000,National Lampoon's Christmas Vacation,PG-13,12/1/1989,97,7.6,Chevy Chase,115848,John Hughes,1989
10000000,De Laurentiis Entertainment Group (DEG),USA,Stephen Herek,Adventure,40485039,Bill & Ted's Excellent Adventure,PG,2/17/1989,90,6.9,Keanu Reeves,90901,Chris Matheson,1989
0,Gordon Company,USA,Phil Alden Robinson,Drama,64431625,Field of Dreams,PG,5/5/1989,107,7.5,Kevin Costner,91800,W.P. Kinsella,1989
