budget,company,country,director,genre,gross,name,rating,runtime,score,star,votes,writer,year
18000000,Producers Sales Organization (PSO),USA,Hal Ashby,Action,1305114,8 Million Ways to Die,R,115,5.7,Jeff Bridges,3607,Lawrence Block,1986
0,TriStar Pictures,USA,Richard Pearce,Crime,12303904,No Mercy,R,106,5.7,Richard Gere,5564,James Carabatsos,1986
0,Orion Pictures,USA,Gene Wilder,Comedy,8033397,Haunted Honeymoon,PG,82,5.6,Gene Wilder,5549,Gene Wilder,1986
0,Empire Pictures,USA,Ted Nicolaou,Comedy,320256,TerrorVision,R,83,5.7,Diane Franklin,4620,Ted Nicolaou,1986
0,Golan-Globus Productions,USA,Gary Nelson,Action,3751699,Allan Quatermain and the Lost City of Gold,PG,99,4.4,Richard Chamberlain,7491,H. Rider Haggard,1986
0,HandMade Films,UK,Neil Jordan,Crime,5794184,Mona Lisa,R,104,7.4,Bob Hoskins,10747,Neil Jordan,1986
0,Delphi Films,USA,Garry Marshall,Comedy,32324557,Nothing in Common,PG,118,5.9,Tom Hanks,5345,Rick Podell,1986
8000000,Cannon Group,USA,J. Lee Thompson,Action,11834302,Firewalker,PG,104,5,Chuck Norris,4752,Robert Gosnell,1986
0,Cannon Screen Entertainment,UK,Nicolas Roeg,Adventure,483460,Castaway,R,117,6,Oliver Reed,2649,Lucy Irvine,1986
3300000,Amaretto Films,USA,Richard Wenk,Comedy,4941117,Vamp,R,93,5.9,Chris Makepeace,3909,Donald P. Borchers,1986
0,British Film Institute (BFI),UK,Derek Jarman,Biography,3151,Caravaggio,Not specified,93,6.7,Noam Almaz,4072,Derek Jarman,1986
0,Les Films Plain Chant,France,Leos Carax,Crime,21483,Mauvais Sang,UNRATED,116,7.3,Michel Piccoli,4922,Leos Carax,1986
0,Paramount Pictures,USA,Duncan Gibbins,Drama,4636169,Fire with Fire,PG-13,103,6.6,Craig Sheffer,1264,Bill Phillips,1986
15000000,Warner Bros.,USA,Harold Ramis,Comedy,12308521,Club Paradise,PG-13,96,4.9,Robin Williams,5049,Harry Shearer,1986
40000000,Universal Pictures,USA,Ivan Reitman,Comedy,49851591,Legal Eagles,PG,116,5.9,Robert Redford,8374,Ivan Reitman,1986
0,Thorn EMI Screen Entertainment,UK,Christopher Morahan,Comedy,1476356,Clockwise,PG,96,6.6,John Cleese,9689,Michael Frayn,1986
0,Atlantic Entertainment Group,USA,Robert M. Young,Drama,13418091,Extremities,R,89,6.3,Farrah Fawcett,2705,William Mastrosimone,1986
13000000,Metro-Goldwyn-Mayer (MGM),USA,Brian De Palma,Comedy,8475466,Wise Guys,R,100,5.6,Danny DeVito,4573,George Gallo,1986
0,Atlantic Entertainment Group,USA,Peter Medak,Drama,2444076,The Men's Club,R,101,4.5,David Dukes,680,Leonard Michaels,1986
0,DD Productions,Switzerland,Claude Berri,Drama,4940939,Jean de Florette,PG,120,8.1,Yves Montand,20914,Claude Berri,1986
0,Balcor Film Investors,USA,Tom DeSimone,Drama,2510433,Reform School Girls,R,94,5.2,Linda Carol,1717,Jack Cummins,1986
0,DD Productions,Switzerland,Claude Berri,Drama,3940542,Manon of the Spring,PG,113,8,Yves Montand,17849,Claude Berri,1986
17000000,HandMade Films,UK,Jim Goddard,Adventure,2315683,Shanghai Surprise,PG-13,97,3.1,Sean Penn,4339,John Kohn,1986
16000000,Lorimar Productions,USA,Sidney Lumet,Drama,3800000,Power,R,111,5.7,Richard Gere,2287,David Himmelstein,1986
0,Not specified,USA,Jerry Kramer,Comedy,604849,Modern Girls,PG-13,84,5.9,Daphne Zuniga,1023,Laurie Craig,1986
20000000,De Laurentiis Entertainment Group (DEG),USA,Bruce Beresford,Comedy,22905500,Crimes of the Heart,PG-13,105,6.4,Diane Keaton,3079,Beth Henley,1986
0,Cinema VII,USA,John McTiernan,Horror,2278264,Nomads,R,91,5.5,Lesley-Anne Down,3006,John McTiernan,1986
0,Empire Pictures,USA,Peter Manoogian,Action,4601256,Eliminators,PG,96,4.5,Andrew Prine,1422,Paul De Meo,1986
0,TMS Pictures,Canada,George Mendeluk,Comedy,2147228,Meatballs III: Summer Job,R,96,3.3,Sally Kellerman,2003,Janis Allen,1986
6000000,Golan-Globus Productions,USA,J. Lee Thompson,Action,9947631,Murphy's Law,R,100,5.9,Charles Bronson,3561,Gail Morgan Hickman,1986
0,Edward R. Pressman Film,USA,David Byrne,Musical,2545142,True Stories,PG,90,7,David Byrne,3885,Stephen Tobolowsky,1986
0,Warner Bros.,USA,Prince,Comedy,10090429,Under the Cherry Moon,PG-13,98,4.9,Prince,2549,Becky Johnston,1986
0,Delphi V Productions,Israel,Moshй Mizrahi,Drama,278623,Every Time We Say Goodbye,PG-13,95,5.9,Tom Hanks,1834,Moshй Mizrahi,1986
0,Goldcrest Films International,UK,Julien Temple,Drama,930211,Absolute Beginners,PG-13,108,5.6,Patsy Kensit,2659,Colin MacInnes,1986
0,Little Bear,USA,Bertrand Tavernier,Drama,3272600,'Round Midnight,R,133,7.4,Dexter Gordon,4028,David Rayfiel,1986
4000000,"Cannon Group, The",USA,Sam Firstenberg,Action,4679650,Avenging Force,R,104,5.9,Michael Dudikoff,1808,James Booth,1986
0,Simcom Limited,Canada,Paul Lynch,Action,2995527,Bullies,R,96,5.4,Jonathan Crombie,340,John Sheppard,1986
0,Compact Yellowbill,UK,John Hough,Adventure,112132,Biggles: Adventures in Time,PG,88,5.8,Neil Dickson,2243,W.E. Johns,1986
0,Lorimar Productions,USA,Albert Magnoli,Drama,4845724,American Anthem,PG-13,102,4,Mitchell Gaylord,1284,Evan Archerd,1986
0,Columbia Pictures Corporation,USA,Richard Tuggle,Action,5099316,Out of Bounds,R,93,5.4,Anthony Michael Hall,1016,Tony Kayden,1986
0,Crown International Pictures,USA,David Beaird,Comedy,4781448,My Chauffeur,R,97,5.6,Deborah Foreman,1426,David Beaird,1986
18000000,Rastar Pictures,USA,Gene Saks,Comedy,11957943,Brighton Beach Memoirs,PG-13,108,6.9,Blythe Danner,2720,Neil Simon,1986
0,Ministиre de la Culture et de la Communication,France,Йric Rohmer,Drama,37455,Summer,R,98,7.8,Marie Riviиre,4612,Marie Riviиre,1986
0,Cannon Group,USA,Paul Nicholas,Drama,3136701,The Naked Cage,R,97,5.5,Shari Shattuck,327,Paul Nicholas,1986
0,Cannon Screen Entertainment,UK,Richard Franklin,Horror,1720450,Link,R,100,5.9,Terence Stamp,2080,Lee David Zlotoff,1986
0,Edward R. Pressman Film,UK,Bob Swaim,Thriller,1131399,Half Moon Street,R,90,5.4,Sigourney Weaver,2157,Edward Behr,1986
0,Aaron Spelling Productions,USA,Tom Moore,Drama,441863,"'night, Mother",PG-13,96,7.6,Sissy Spacek,1840,Marsha Norman,1986
0,Blake Edwards,USA,Blake Edwards,Action,6029824,A Fine Mess,PG,90,4.5,Ted Danson,1164,Blake Edwards,1986
0,Chroma III Productions,USA,Mark Griffiths,Comedy,78068,Hardbodies 2,R,88,2.9,James Karen,895,Mark Griffiths,1986
0,Fons Rademakers Produktie,Netherlands,Fons Rademakers,Drama,203781,The Assault,PG,155,7.3,Derek de Lint,2694,Gerard Soeteman,1986
0,Griffon Productions,USA,Paul Schneider,Comedy,277405,Willy/Milly,PG-13,86,5.7,Pamela Adlon,323,Alan Friedman,1986
0,Heron Communications,USA,Janet Greek,Drama,239073,The Ladies Club,R,85,5.3,Karen Austin,154,Casey Bishop,1986
0,Delphi V Productions,USA,Stuart Rosenberg,Action,140980,Let's Get Harry,R,102,5.2,Michael Schoeffling,978,Mark Feldberg,1986
25000000,De Laurentiis Entertainment Group (DEG),USA,Daryl Duke,Adventure,4007250,Tai-Pan,R,127,5.5,Bryan Brown,1340,John Briley,1986
0,Scary Stuff,USA,Jeffrey Delman,Comedy,2750741,Deadtime Stories,R,93,4.6,Scott Valentine,973,Jeffrey Delman,1986
17000000,Escalante Productions,USA,Dick Richards,Action,2793214,Heat,R,101,5.5,Burt Reynolds,1358,William Goldman,1986
0,Kings Road Entertainment,USA,Robert Mandel,Comedy,1254040,Touch and Go,R,101,5.8,Michael Keaton,684,Alan Ormsby,1986
0,Canadian Broadcasting Corporation (CBC),Canada,Charles Jarrott,Biography,275000,The Boy in Blue,R,100,5.4,Nicolas Cage,907,Douglas Bowie,1986
0,Universal Pictures,USA,Alan Alda,Comedy,14205021,Sweet Liberty,PG,106,5.7,Alan Alda,2300,Alan Alda,1986
0,Marquis,USA,William Fruet,Comedy,681337,Killer Party,R,91,4.7,Martin Hewitt,1265,Barney Cohen,1986
0,Rondo Productions,USA,Bill Sherwood,Drama,537681,Parting Glances,Not specified,90,7.8,John Bolger,2330,Bill Sherwood,1986
0,Nelvana,Canada,Dale Schott,Animation,8540346,Care Bears Movie II: A New Generation,G,76,5.3,Maxine Miller,1760,Peter Sauder,1986
14000000,Columbia Pictures Corporation,USA,Richard Pryor,Biography,18034150,"Jo Jo Dancer, Your Life Is Calling",R,97,6.3,Richard Pryor,1288,Rocco Urbisci,1986
0,Balcor Film Investors,USA,Andrew Lane,Action,1943751,Jake Speed,PG,100,5.3,Wayne Crawford,632,Wayne Crawford,1986
3401376,Cinema Group Ventures,USA,Renny Harlin,Action,3388020,Born American,R,97,4.3,Mike Norris,1509,Renny Harlin,1986
10000000,Paramount Pictures,USA,Michelle Manning,Action,6947787,Blue City,R,83,4.4,Judd Nelson,792,Ross Macdonald,1986
0,Cascade Films,Australia,Nadia Tass,Comedy,544472,Malcolm,PG-13,90,7.2,Colin Friels,1623,David Parker,1986
0,Miramax,USA,Bob Weinstein,Comedy,2669366,Playing for Keeps,PG-13,102,4.1,Daniel Jordano,515,Bob Weinstein,1986
0,Golan-Globus Productions,USA,Andrey Konchalovskiy,Drama,8736,Duet for One,R,107,7,Julie Andrews,699,Tom Kempinski,1986
0,Island Pictures,USA,Evelyn Purcell,Comedy,563358,Nobody's Fool,PG-13,107,5.5,Rosanna Arquette,652,Beth Henley,1986
0,Paramount Pictures,USA,John Byrum,Comedy,444746,The Whoopee Boys,R,88,6.2,Michael O'Keefe,639,Steve Zacharias,1986
0,Blake Edwards,USA,Blake Edwards,Comedy,4079895,That's Life!,PG-13,102,6.1,Jack Lemmon,1032,Milton Wexler,1986
0,Hemdale,USA,Hal Needham,Comedy,14926,Body Slam,PG,89,5.3,Dirk Benedict,795,Shel Lytton,1986
0,"Rank Organisation, The",UK,David Drury,Thriller,750000,Defense of the Realm,PG,96,6.6,Gabriel Byrne,1625,Martin Stellman,1986
0,Cinequanon,Argentina,Eliseo Subiela,Drama,725000,Man Facing Southeast,R,105,7.8,Lorenzo Quinteros,2991,Eliseo Subiela,1986
0,Corporation Image M & M,Canada,Denys Arcand,Comedy,1902706,The Decline of the American Empire,R,101,7.3,Dominique Michel,6622,Denys Arcand,1986
0,Rastar Films,USA,Jack Fisk,Drama,4743287,Violets Are Blue...,PG-13,88,5.7,Sissy Spacek,553,Naomi Foner,1986
0,Portreeve,UK,Simon Langton,Thriller,1500000,The Whistle Blower,PG,100,6.2,Michael Caine,1672,Julian Bond,1986
2000000,American Playhouse,USA,Jerrold Freedman,Drama,1301121,Native Son,PG,111,5.9,Victor Love,448,Richard Wesley,1986
0,Carson Productions,USA,Eugene Corr,Drama,416393,Desert Bloom,PG,105,6.6,Jon Voight,821,Linda Remy,1986
0,Alternate Current,USA,Lizzie Borden,Drama,1777378,Working Girls,UNRATED,93,6.5,Louise Smith,604,Lizzie Borden,1986
0,Cinй Valse,France,Bertrand Blier,Comedy,925952,Mйnage,Not specified,84,7,Gйrard Depardieu,2022,Bertrand Blier,1986
0,Camйras Continentales,Denmark,Henning Carlsen,Biography,583800,Oviri,R,100,6.2,Donald Sutherland,275,Henning Carlsen,1986
0,Film Corporation of Kenya,UK,Raju Patel,Action,181410,In the Shadow of Kilimanjaro,R,100,5.1,John Rhys-Davies,310,T. Michael Harry,1986
0,Cineplex-Odeon Films,Australia,Tim Burstall,Drama,432266,Kangaroo,R,108,6.7,Colin Friels,156,Evan Jones,1986
0,Cannon Group,USA,Albert Pyun,Action,2390525,Dangerously Close,R,95,6.6,John Stockwell,935,Scott Fields,1986
0,Hyperion Pictures,USA,Carroll Ballard,Family,781727,Nutcracker,G,100,7.2,Hugh Bigney,578,Kent Stowell,1986
0,Produzioni Europee Associate (PEA),Italy,Federico Fellini,Comedy,837623,Ginger and Fred,PG-13,125,7.3,Marcello Mastroianni,3859,Federico Fellini,1986
0,Metro-Goldwyn-Mayer (MGM),USA,Alan J. Pakula,Crime,502237,Dream Lover,R,104,5.1,Kristy McNichol,405,Jon Boorstin,1986
