budget,company,country,director,genre,gross,name,released,runtime,score,star,votes,year
7850000,Greenleaf Productions,USA,James Yukich,Action,2341309,Double Dragon,11/4/1994,96,3.7,Robert Patrick,9200,1994
200000,Buckeye Films,USA,David O. Russell,Comedy,1359736,Spanking the Monkey,7/15/1994,100,6.3,Jeremy Davies,5363,1994
12000000,Fine Line Features,UK,Roman Polanski,Drama,2104000,Death and the Maiden,1/27/1995,103,7.3,Sigourney Weaver,18786,1994
25000000,Paramount Pictures,USA,Fred Schepisi,Comedy,26372663,I.Q.,12/25/1994,100,6.2,Tim Robbins,20930,1994
19000000,"Morra, Brezner, Steinberg and Tenenbaum Entertainment (MBST)",USA,Paul Flaherty,Comedy,7411659,Clifford,4/1/1994,90,5.3,Martin Short,5807,1994
20000000,Ben-Ami/Leeds Productions,USA,Charles T. Kanganis,Family,11784000,3 Ninjas Kick Back,5/6/1994,93,4.4,Victor Wong,7189,1994
15000000,TriStar Pictures,USA,Nora Ephron,Comedy,6798240,Mixed Nuts,12/21/1994,97,5.4,Steve Martin,8563,1994
700000,Cineville,USA,George Huang,Comedy,376928,Swimming with Sharks,4/21/1995,93,7.1,Kevin Spacey,20003,1994
5000000,21st Century Film Corporation,USA,Allan A. Goldstein,Action,1702394,Death Wish V: The Face of Death,1/14/1994,95,4.7,Charles Bronson,5329,1994
7000000,"Jackson/McHenry Company,The",USA,Doug McHenry,Crime,20851521,Jason's Lyric,9/28/1994,120,6.6,Allen Payne,2838,1994
4000000,Audifilm,Italy,Michele Soavi,Comedy,253969,Cemetery Man,4/26/1996,105,7.3,Rupert Everett,17110,1994
26000000,Fallingcloud,Canada,Andrew Morahan,Action,13829734,Highlander: The Final Dimension,1/27/1995,99,4.3,Christopher Lambert,17307,1994
1900000,Aim,Republic of Macedonia,Milcho Manchevski,Drama,763847,Before the Rain,2/24/1995,113,8.1,Katrin Cartlidge,11967,1994
6000000,Universal Pictures,USA,Ron Howard,Comedy,38824341,The Paper,3/25/1994,112,6.6,Michael Keaton,11123,1994
